NAME,Address,LINE
Astor Pl,"40.73005400028978,-73.99106999861966",4-6-6 Express
Canal St,"40.71880300107709,-74.00019299927328",4-6-6 Express
50th St,"40.76172799961419,-73.98384899986625",2-Jan
Bergen St,"40.68086213682956,-73.97499915116808",2/3/04
Pennsylvania Ave,"40.66471445143568,-73.89488591154061",4-Mar
238th St,"40.88466700064975,-73.90087000018522",1
Cathedral Pkwy (110th St),"40.800581558114956,-73.95806670661364",A-B-C
Kingston - Throop Aves,"40.67991899941601,-73.94085899871263",A-C
65th St,"40.74971952935675,-73.8987883783301",E-M-R
36th St,"40.75196004401078,-73.92901818461539",E-M-R
Delancey St - Essex St,"40.71830605618619,-73.98740940202974",J-M-Z
Van Siclen Ave,"40.67802821447783,-73.89165772702445",J-Z
Norwood Ave,"40.68152000045683,-73.87962599910783",J-Z
104th-102nd Sts,"40.69516599823373,-73.84443500029684",J-Z
DeKalb Ave,"40.690648119969794,-73.98177094440949",B-D-N-Q-R
Beach 105th St,"40.58326843810286,-73.82758075034528",A-S
Beach 90th St,"40.58809156457325,-73.81365140419632",A-S
Freeman St,"40.829987446384116,-73.89175225349464",5-Feb
Intervale Ave,"40.822142131170786,-73.89661738461646",5-Feb
182nd-183rd Sts,"40.85609299881864,-73.90074099998965",B-D
174th-175th Sts,"40.84589999983414,-73.91013600050078",B-D
167th St,"40.83376899862797,-73.91843200082253",B-D
Mets - Willets Point,"40.75462199881262,-73.8456249984179",7-7 Express
Junction Blvd,"40.74914499948836,-73.86952700103515",7-7 Express
Flushing - Main St,"40.75959999915012,-73.83003000262508",7-7 Express
Buhre Ave,"40.846809998885504,-73.83256900003744",6-6 Express
3rd Ave - 138th St,"40.81047600117261,-73.92613800014134",6-6 Express
Castle Hill Ave,"40.83425499825462,-73.85122199961472",6-6 Express
Brooklyn Bridge - City Hall,"40.713064999433136,-74.0041310005885",4-5-6-6 Express
Zerega Ave,"40.836488000608156,-73.8470359987544",6-6 Express
Grand Central - 42nd St,"40.75180742981634,-73.9767132992584",4-5-6-6 Express
33rd St,"40.74608099909145,-73.98207600148947",4-6-6 Express
96th St,"40.78567199998607,-73.9510700015425",4-6-6 Express
77th St,"40.77362000074615,-73.95987399886047",4-6-6 Express
Chauncey St,"40.68285130087804,-73.91038357033376",J-Z
Union St,"40.67731566735096,-73.98310999909673",D-N-R
Elmhurst Ave,"40.74237007972169,-73.8820347465864",E-M-R
Ralph Ave,"40.678822000873375,-73.92078599933306",A-C
Pelham Pkwy,"40.8571924091606,-73.86748067850041",5-Feb
Gun Hill Rd,"40.877839385172024,-73.86613410538703",5-Feb
Nereid Ave (238 St),"40.898286515575286,-73.8543153107622",5-Feb
Franklin Ave,"40.67076515344894,-73.9580997367769",2-3-4-5
Simpson St,"40.823976841237396,-73.89306639507903",5-Feb
Bronx Park East,"40.848768666338934,-73.86835609178098",5-Feb
Winthrop St,"40.65665931376077,-73.95007934590994",5-Feb
Van Siclen Ave,"40.665517963059635,-73.88940491730106",4-Mar
149th St - Grand Concourse,"40.81830344372315,-73.9273847542618",4
161st St - Yankee Stadium,"40.82823032742169,-73.92569199505733",4
Lexington Ave - 59th St,"40.762526000304575,-73.9679670004732",4-5-6-6 Express
E 149th St,"40.81211799827203,-73.90409799875945",6
Morrison Av - Soundview,"40.82952100156747,-73.87451599929486",6
Whitlock Ave,"40.82652500055904,-73.8862829985325",6
St Lawrence Ave,"40.8315090005233,-73.86761799923673",6
Woodside - 61st St,"40.745630001138395,-73.90298400173006",7-7 Express
Far Rockaway - Mott Ave,"40.603995001687544,-73.75540499924732",A
72nd St,"40.77551939729258,-73.976336575218",A-B-C
96th St,"40.79161879767014,-73.96460245687166",A-B-C
168th St,"40.84071899990795,-73.93956099985425",A-C
Kingsbridge Rd,"40.86697799999945,-73.8935090000331",B-D
42nd St - Bryant Pk,"40.754184001312545,-73.98459099904711",B-D-F-M
Prospect Park,"40.6616334551018,-73.96203130426609",B-Q-S
55th St,"40.63147876093745,-73.99534882595742",D
Jamaica - Van Wyck,"40.70289855287313,-73.81701287135405",E
Kew Gardens - Union Tpke,"40.714034819571026,-73.8303702709878",E-F
Sutphin Blvd - Archer Av,"40.700382424235,-73.80800471963833",E-J-Z
Court Sq - 23rd St,"40.747768121414325,-73.94605470266329",E-M
67th Ave,"40.726505475813006,-73.85286048434907",E-M-R
Grand Ave - Newtown,"40.736813418197144,-73.87722085669182",E-M-R
Ditmas Ave,"40.63611866666291,-73.97817199965161",F
Classon Ave,"40.68888900026455,-73.95999000137212",G
Broadway,"40.706126576274166,-73.95031225606621",G
Lorimer St,"40.71407200064717,-73.95024799996972",L
Sutter Ave,"40.66914500061398,-73.9019160004208",L
Wilson Ave,"40.68886654246024,-73.90395860491864",L
Halsey St,"40.686415270704344,-73.9166388842194",J
Lorimer St,"40.703844000042096,-73.94735499884204",J-M
8th Ave,"40.634970999647166,-74.01151599772157",N
36th Ave,"40.7564420005104,-73.929861999118",N-W
Broadway,"40.761431998800546,-73.92582299919906",N-W
Times Sq - 42nd St,"40.75461199851542,-73.98676800153976",N-Q-R-W
Grand Central - 42nd St,"40.75276866674217,-73.97918899989101",S
Park Pl,"40.67477166685263,-73.95762400074634",S
111th St,"40.68433100001238,-73.83216299845388",A-S
W 4th St - Washington Sq (Lower),"40.732254493367876,-74.00030814755975",B-D-F-M
51st St,"40.75710699989316,-73.97192000069982",4-6-6 Express
86th St,"40.78864400073892,-73.97621799859327",2-Jan
233rd St,"40.89314324138378,-73.85736239521543",5-Feb
66th St - Lincoln Ctr,"40.77344000052039,-73.98220899995783",2-Jan
Hunts Point Ave,"40.82094799852307,-73.89054900017344",6-6 Express
Canal St,"40.72285399778783,-74.0062770001748",2-Jan
Middletown Rd,"40.84386300128381,-73.83632199755944",6-6 Express
23rd St,"40.739864000474604,-73.98659900207888",4-6-6 Express
Court Sq,"40.74702299889643,-73.94526400039679",7-7 Express
59th St - Columbus Circle,"40.76824700063689,-73.98192900232715",2-Jan
